FIPS,COUNTY_NAME,STATE_ABBREV,influence_score,eigenvector_centrality
30049,Lewis And Clark County,MT,6.68015873015873,1.4661765410739008e-23
30029,Flathead County,MT,6.68015873015873,1.4661765410739008e-23
30023,Deer Lodge County,MT,6.68015873015873,6.021909702132576e-12
30021,Dawson County,MT,6.68015873015873,1.4661765410739008e-23
30013,Cascade County,MT,6.68015873015873,1.4661765410739008e-23
30111,Yellowstone County,MT,6.68015873015873,1.4661765410739008e-23
40117,Pawnee County,OK,6.666666666666666,4.8155324510498413e-08
40041,Delaware County,OK,6.666666666666666,5.455127969570512e-08
40017,Canadian County,OK,6.666666666666666,4.8155324510498413e-08
19139,Muscatine County,IA,6.666666666666666,1.270541749452072e-10
46073,Jerauld County,SD,6.666666666666666,5.015864290556652e-10
29007,Audrain County,MO,6.666666666666665,5.4031662967397615e-08
13097,Douglas County,GA,6.666666666666664,0.00011754821489093203
51167,Russell County,VA,6.650000000000001,1.4661765410739008e-23
51770,Roanoke city,VA,6.650000000000001,1.4661765410739008e-23
51750,Radford city,VA,6.650000000000001,1.4661765410739008e-23
51071,Giles County,VA,6.650000000000001,1.4661765410739008e-23
51660,Harrisonburg city,VA,6.650000000000001,1.4661765410739008e-23
51683,Manassas city,VA,6.650000000000001,1.4661765410739008e-23
51095,James City County,VA,6.650000000000001,1.4661765410739008e-23
51191,Washington County,VA,6.650000000000001,1.4661765410739008e-23
51155,Pulaski County,VA,6.650000000000001,1.4661765410739008e-23
51131,Northampton County,VA,6.650000000000001,1.4661765410739008e-23
51103,Lancaster County,VA,6.650000000000001,1.4661765410739008e-23
49027,Millard County,UT,6.626190476190477,1.4661765410739008e-23
39003,Allen County,OH,6.625,1.4661765410739008e-23
39059,Guernsey County,OH,6.625,1.4661765410739008e-23
39131,Pike County,OH,6.625,1.4661765410739008e-23
39119,Muskingum County,OH,6.625,1.4661765410739008e-23
39113,Montgomery County,OH,6.625,1.4661765410739008e-23
39101,Marion County,OH,6.625,1.4661765410739008e-23
39099,Mahoning County,OH,6.625,1.4661765410739008e-23
39087,Lawrence County,OH,6.625,1.4661765410739008e-23
39081,Jefferson County,OH,6.625,1.4661765410739008e-23
39079,Jackson County,OH,6.625,1.4661765410739008e-23
39077,Huron County,OH,6.625,1.4661765410739008e-23
39071,Highland County,OH,6.625,1.4661765410739008e-23
39049,Franklin County,OH,6.625,1.4661765410739008e-23
39053,Gallia County,OH,6.625,1.4661765410739008e-23
39009,Athens County,OH,6.625,1.4661765410739008e-23
39047,Fayette County,OH,6.625,1.4661765410739008e-23
39033,Crawford County,OH,6.625,1.4661765410739008e-23
39027,Clinton County,OH,6.625,1.4661765410739008e-23
39025,Clermont County,OH,6.625,1.4661765410739008e-23
39023,Clark County,OH,6.625,1.4661765410739008e-23
39017,Butler County,OH,6.625,1.4661765410739008e-23
39015,Brown County,OH,6.625,1.4661765410739008e-23
39013,Belmont County,OH,6.625,1.4661765410739008e-23
39043,Erie County,OH,6.625,1.4661765410739008e-23
39095,Lucas County,OH,6.625,1.4661765410739008e-23
39151,Stark County,OH,6.625,1.4661765410739008e-23
39155,Trumbull County,OH,6.625,1.4661765410739008e-23
39167,Washington County,OH,6.625,1.4661765410739008e-23
39141,Ross County,OH,6.625,1.4661765410739008e-23
