CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2007
Print
Related Pages
< U.S. County Opioid Dispensing Rates, 2006

U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2008 >

US County Dispensing Rates, 2007
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2007
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Modoc, CA	CA	06049	135.3
Mono, CA	CA	06051	54.4
Monterey, CA	CA	06053	63.7
Napa, CA	CA	06055	42.5
Nevada, CA	CA	06057	102.1
Orange, CA	CA	06059	51.4
Placer, CA	CA	06061	75.8
Plumas, CA	CA	06063	103.2
Riverside, CA	CA	06065	54.6
Sacramento, CA	CA	06067	60.6
San Benito, CA	CA	06069	50.3
San Bernardino, CA	CA	06071	50.3
San Diego, CA	CA	06073	45.9
San Francisco, CA	CA	06075	44.0
San Joaquin, CA	CA	06077	62.9
San Luis Obispo, CA	CA	06079	82.4
San Mateo, CA	CA	06081	40.2
Santa Barbara, CA	CA	06083	69.4
Santa Clara, CA	CA	06085	31.7
Santa Cruz, CA	CA	06087	82.1
Shasta, CA	CA	06089	190.2
Sierra, CA	CA	06091	–
Siskiyou, CA	CA	06093	114.9
Solano, CA	CA	06095	51.8
Sonoma, CA	CA	06097	71.6
Stanislaus, CA	CA	06099	100.9
Sutter, CA	CA	06101	148.6
Tehama, CA	CA	06103	121.3
Trinity, CA	CA	06105	117.9
Tulare, CA	CA	06107	76.4
Tuolumne, CA	CA	06109	140.1
Ventura, CA	CA	06111	62.3
Yolo, CA	CA	06113	59.7
Yuba, CA	CA	06115	72.6
Adams, CO	CO	08001	52.6
Alamosa, CO	CO	08003	194.8
Arapahoe, CO	CO	08005	60.2
Archuleta, CO	CO	08007	47.7
Baca, CO	CO	08009	85.4
Bent, CO	CO	08011	36.9
Boulder, CO	CO	08013	61.1
Broomfield, CO	CO	08014	53.5
Chaffee, CO	CO	08015	87.6
Cheyenne, CO	CO	08017	49.4
Clear Creek, CO	CO	08019	51.7
Conejos, CO	CO	08021	–
Costilla, CO	CO	08023	–
Crowley, CO	CO	08025	34.2
Custer, CO	CO	08027	–
Delta, CO	CO	08029	82.7
Denver, CO	CO	08031	45.8
Dolores, CO	CO	08033	–
Douglas, CO	CO	08035	58.4
Eagle, CO	CO	08037	52.1
Elbert, CO	CO	08039	24.8
El Paso, CO	CO	08041	72.2
