CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2006
Print
Related Pages
U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2007 >

US County Prescribing Rates, 2006
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2006
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Ventura, CA	CA	06111	59.9
Yolo, CA	CA	06113	55.8
Yuba, CA	CA	06115	76.1
Adams, CO	CO	08001	52.6
Alamosa, CO	CO	08003	172.7
Arapahoe, CO	CO	08005	56.9
Archuleta, CO	CO	08007	50.0
Baca, CO	CO	08009	80.4
Bent, CO	CO	08011	32.7
Boulder, CO	CO	08013	59.3
Broomfield, CO	CO	08014	51.8
Chaffee, CO	CO	08015	88.7
Cheyenne, CO	CO	08017	45.0
Clear Creek, CO	CO	08019	48.2
Conejos, CO	CO	08021	–
Costilla, CO	CO	08023	–
Crowley, CO	CO	08025	32.3
Custer, CO	CO	08027	–
Delta, CO	CO	08029	81.2
Denver, CO	CO	08031	42.8
Dolores, CO	CO	08033	–
Douglas, CO	CO	08035	55.5
Eagle, CO	CO	08037	51.9
Elbert, CO	CO	08039	24.1
El Paso, CO	CO	08041	66.3
Fremont, CO	CO	08043	66.3
Garfield, CO	CO	08045	93.4
Gilpin, CO	CO	08047	–
Grand, CO	CO	08049	51.1
Gunnison, CO	CO	08051	49.8
Hinsdale, CO	CO	08053	–
Huerfano, CO	CO	08055	93.5
Jackson, CO	CO	08057	–
Jefferson, CO	CO	08059	72.2
Kiowa, CO	CO	08061	77.0
Kit Carson, CO	CO	08063	–
Lake, CO	CO	08065	72.6
La Plata, CO	CO	08067	80.2
Larimer, CO	CO	08069	65.4
Las Animas, CO	CO	08071	117.3
Lincoln, CO	CO	08073	–
Logan, CO	CO	08075	61.4
Mesa, CO	CO	08077	93.1
Mineral, CO	CO	08079	–
Moffat, CO	CO	08081	95.9
Montezuma, CO	CO	08083	77.6
Montrose, CO	CO	08085	85.9
Morgan, CO	CO	08087	70.8
Otero, CO	CO	08089	105.9
Ouray, CO	CO	08091	49.8
Park, CO	CO	08093	14.5
Phillips, CO	CO	08095	38.0
Pitkin, CO	CO	08097	23.5
Prowers, CO	CO	08099	78.6
Pueblo, CO	CO	08101	102.4
Rio Blanco, CO	CO	08103	–
Rio Grande, CO	CO	08105	50.1
Routt, CO	CO	08107	86.2
Saguache, CO	CO	08109	–
San Juan, CO	CO	08111	–
San Miguel, CO	CO	08113	42.9
Sedgwick, CO	CO	08115	81.0
Summit, CO	CO	08117	75.6
Teller, CO	CO	08119	76.5
Washington, CO	CO	08121	41.4
Weld, CO	CO	08123	56.5
Yuma, CO	CO	08125	64.3
Fairfield, CT	CT	09001	50.4
Hartford, CT	CT	09003	68.9
Litchfield, CT	CT	09005	67.0
Middlesex, CT	CT	09007	67.4
New Haven, CT	CT	09009	73.3
New London, CT	CT	09011	73.0
Tolland, CT	CT	09013	47.8
Windham, CT	CT	09015	73.7
District of Columbia, DC	DC	11001	31.7
Kent, DE	DE	10001	80.9
New Castle, DE	DE	10003	81.6
Sussex, DE	DE	10005	105.7
Alachua, FL	FL	12001	87.4
Baker, FL	FL	12003	148.0
Bay, FL	FL	12005	120.4
Bradford, FL	FL	12007	94.0
Brevard, FL	FL	12009	95.5
Broward, FL	FL	12011	66.2
Calhoun, FL	FL	12013	77.1
Charlotte, FL	FL	12015	102.3
Citrus, FL	FL	12017	100.0
Clay, FL	FL	12019	94.9
Collier, FL	FL	12021	76.1
Columbia, FL	FL	12023	127.3
DeSoto, FL	FL	12027	60.1
Dixie, FL	FL	12029	54.7
Duval, FL	FL	12031	90.3
Escambia, FL	FL	12033	121.6
Flagler, FL	FL	12035	91.9
Franklin, FL	FL	12037	110.5
Gadsden, FL	FL	12039	58.4
Gilchrist, FL	FL	12041	59.8
Glades, FL	FL	12043	–
Gulf, FL	FL	12045	118.2
Hamilton, FL	FL	12047	58.5
Hardee, FL	FL	12049	56.0
Hendry, FL	FL	12051	79.7
Hernando, FL	FL	12053	101.3
Highlands, FL	FL	12055	73.7
Hillsborough, FL	FL	12057	110.5
Holmes, FL	FL	12059	85.3
Indian River, FL	FL	12061	99.0
Jackson, FL	FL	12063	79.3
Jefferson, FL	FL	12065	65.0
Lafayette, FL	FL	12067	28.1
Lake, FL	FL	12069	85.4
Lee, FL	FL	12071	92.8
Leon, FL	FL	12073	78.9
Levy, FL	FL	12075	96.0
Liberty, FL	FL	12077	13.0
Madison, FL	FL	12079	74.0
Manatee, FL	FL	12081	91.1
Marion, FL	FL	12083	92.0
Martin, FL	FL	12085	82.8
Miami-Dade, FL	FL	12086	33.0
Monroe, FL	FL	12087	110.2
Nassau, FL	FL	12089	101.7
Okaloosa, FL	FL	12091	117.2
Okeechobee, FL	FL	12093	100.5
Orange, FL	FL	12095	62.0
Osceola, FL	FL	12097	63.7
Palm Beach, FL	FL	12099	73.7
Pasco, FL	FL	12101	110.2
Pinellas, FL	FL	12103	100.5
Polk, FL	FL	12105	85.7
Putnam, FL	FL	12107	102.1
St. Johns, FL	FL	12109	81.4
St. Lucie, FL	FL	12111	68.5
Santa Rosa, FL	FL	12113	110.3
Sarasota, FL	FL	12115	91.3
Seminole, FL	FL	12117	67.5
Sumter, FL	FL	12119	51.1
Suwannee, FL	FL	12121	76.4
Taylor, FL	FL	12123	104.4
Union, FL	FL	12125	59.3
Volusia, FL	FL	12127	97.2
Wakulla, FL	FL	12129	76.2
Walton, FL	FL	12131	105.2
Washington, FL	FL	12133	139.0
Appling, GA	GA	13001	88.9
Atkinson, GA	GA	13003	49.4
Bacon, GA	GA	13005	145.7
Baker, GA	GA	13007	–
Baldwin, GA	GA	13009	85.0
Banks, GA	GA	13011	7.0
Barrow, GA	GA	13013	92.0
Bartow, GA	GA	13015	97.5
Ben Hill, GA	GA	13017	133.3
Berrien, GA	GA	13019	100.1
Bibb, GA	GA	13021	142.0
Bleckley, GA	GA	13023	128.9
Brantley, GA	GA	13025	–
Brooks, GA	GA	13027	75.7
Bryan, GA	GA	13029	55.4
Bulloch, GA	GA	13031	78.0
Burke, GA	GA	13033	72.0
Butts, GA	GA	13035	85.6
Calhoun, GA	GA	13037	–
Camden, GA	GA	13039	87.0
Candler, GA	GA	13043	130.0
Carroll, GA	GA	13045	120.0
Catoosa, GA	GA	13047	138.3
Charlton, GA	GA	13049	91.7
Chatham, GA	GA	13051	97.5
Chattahoochee, GA	GA	13053	–
Chattooga, GA	GA	13055	103.4
Cherokee, GA	GA	13057	75.5
Clarke, GA	GA	13059	113.4
Clay, GA	GA	13061	108.6
Clayton, GA	GA	13063	52.1
Clinch, GA	GA	13065	114.7
Cobb, GA	GA	13067	74.9
Coffee, GA	GA	13069	145.7
Colquitt, GA	GA	13071	72.5
Columbia, GA	GA	13073	91.3
Cook, GA	GA	13075	84.3
Coweta, GA	GA	13077	83.8
Crawford, GA	GA	13079	–
Crisp, GA	GA	13081	165.2
Dade, GA	GA	13083	64.7
Dawson, GA	GA	13085	138.6
Decatur, GA	GA	13087	104.9
DeKalb, GA	GA	13089	45.7
Dodge, GA	GA	13091	105.9
Dooly, GA	GA	13093	–
Dougherty, GA	GA	13095	116.8
Douglas, GA	GA	13097	103.3
Early, GA	GA	13099	104.8
Echols, GA	GA	13101	–
Effingham, GA	GA	13103	62.7
Elbert, GA	GA	13105	133.2
Emanuel, GA	GA	13107	112.4
Evans, GA	GA	13109	143.4
Fannin, GA	GA	13111	94.8
Fayette, GA	GA	13113	80.4
Floyd, GA	GA	13115	146.5
Forsyth, GA	GA	13117	54.9
Franklin, GA	GA	13119	193.5
Fulton, GA	GA	13121	54.0
Gilmer, GA	GA	13123	104.9
Glascock, GA	GA	13125	–
Glynn, GA	GA	13127	129.1
Gordon, GA	GA	13129	119.3
Grady, GA	GA	13131	59.8
Greene, GA	GA	13133	101.8
Gwinnett, GA	GA	13135	58.0
Habersham, GA	GA	13137	121.2
Hall, GA	GA	13139	100.4
Hancock, GA	GA	13141	–
Haralson, GA	GA	13143	144.6
Harris, GA	GA	13145	6.4
Hart, GA	GA	13147	72.9
Heard, GA	GA	13149	–
Henry, GA	GA	13151	79.3
Houston, GA	GA	13153	112.6
Irwin, GA	GA	13155	78.1
Jackson, GA	GA	13157	96.9
Jasper, GA	GA	13159	46.8
Jeff Davis, GA	GA	13161	127.1
Jefferson, GA	GA	13163	125.8
Jenkins, GA	GA	13165	50.2
Johnson, GA	GA	13167	48.0
Jones, GA	GA	13169	31.5
Lamar, GA	GA	13171	70.4
